,player_name,position,games,at_bats,runs,hits,doubles,triples,home_runs,RBI,walks,strikeouts,stolen base ,caught_stealing,AVG,on_base_%,slugging_%,OPS
310,J Varitek,C,1546.0,5099.0,664.0,1307.0,306.0,14.0,193.0,757.0,614.0,1216,25.0,18,0.256,0.341,0.435,0.776
311,A Otis,CF,1998.0,7299.0,1092.0,2020.0,374.0,66.0,193.0,1007.0,757.0,1008,341.0,93,0.277,0.343,0.425,0.768
312,A Rosen,3B,1044.0,3725.0,603.0,1063.0,165.0,20.0,192.0,717.0,587.0,385,39.0,33,0.285,0.384,0.495,0.879
313,J Ram?rez,3B,1141.0,4163.0,699.0,1159.0,291.0,33.0,192.0,666.0,475.0,575,175.0,42,0.278,0.354,0.503,0.857
314,J Altuve,2B,1578.0,6305.0,986.0,1935.0,379.0,29.0,192.0,696.0,509.0,840,279.0,81,0.307,0.362,0.468,0.83
315,C Furillo,RF,1806.0,6378.0,895.0,1910.0,324.0,56.0,192.0,1058.0,514.0,436,48.0,26,0.299,0.355,0.458,0.813
316,R Durham,2B,1975.0,7408.0,1249.0,2054.0,440.0,79.0,192.0,875.0,820.0,1201,273.0,97,0.277,0.352,0.436,0.788
317,B Dozier,2B,1144.0,4316.0,664.0,1055.0,231.0,21.0,192.0,561.0,488.0,973,105.0,36,0.244,0.325,0.441,0.766
318,R Martin,C,1693.0,5701.0,803.0,1416.0,255.0,9.0,191.0,771.0,792.0,1211,101.0,51,0.248,0.349,0.397,0.746
319,H McRae,DH,2084.0,7218.0,940.0,2091.0,484.0,66.0,191.0,1097.0,648.0,779,109.0,78,0.29,0.351,0.454,0.805
320,C Young,CF,1465.0,4710.0,668.0,1109.0,288.0,24.0,191.0,590.0,520.0,1192,142.0,46,0.235,0.314,0.428,0.742
321,G Davis,1B,1015.0,3719.0,510.0,965.0,177.0,13.0,190.0,603.0,370.0,613,28.0,11,0.259,0.332,0.467,0.799
322,W Jones,3B,1691.0,5826.0,786.0,1502.0,252.0,33.0,190.0,812.0,755.0,541,40.0,17,0.258,0.343,0.41,0.753
323,A Gordon,LF,1753.0,6391.0,867.0,1643.0,357.0,26.0,190.0,749.0,684.0,1535,113.0,45,0.257,0.338,0.41,0.748
324,E Lombardi,C,1852.0,5855.0,601.0,1792.0,277.0,27.0,190.0,990.0,430.0,262,8.0,--,0.306,0.358,0.46,0.818
325,C Keller,LF,1170.0,3790.0,725.0,1085.0,166.0,72.0,189.0,760.0,784.0,499,45.0,23,0.286,0.41,0.518,0.928
326,P Wilson,CF,1108.0,4003.0,573.0,1055.0,221.0,16.0,189.0,668.0,350.0,1085,124.0,55,0.264,0.329,0.468,0.797
327,J Snow,1B,1716.0,5641.0,798.0,1509.0,293.0,19.0,189.0,877.0,760.0,1142,20.0,23,0.268,0.357,0.427,0.784
328,N Markakis,RF,2154.0,8302.0,1119.0,2388.0,514.0,22.0,189.0,1046.0,891.0,1230,66.0,32,0.288,0.357,0.423,0.78
329,B Bailey,3B,1931.0,6082.0,772.0,1564.0,234.0,43.0,189.0,773.0,852.0,1126,85.0,83,0.257,0.347,0.403,0.75
330,J Hardy,SS,1561.0,5805.0,718.0,1488.0,291.0,14.0,188.0,688.0,411.0,960,8.0,9,0.256,0.305,0.408,0.713
331,D Porter,C,1782.0,5539.0,765.0,1369.0,237.0,48.0,188.0,826.0,905.0,1025,39.0,37,0.247,0.354,0.409,0.763
